nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
JOB BLAGNAC;240;20;oui;2008;RTE DE BLAGNAC;BLAGNAC (RTE DE BLAGNAC);112;3105551180;Toulouse;31555;1571535.8236;2269761.3342;1.40838826425003;43.61700887561
RENAN VITRY;244;18;oui;2008;RUE ERNEST RENAN;RENAN (RUE ERNEST RENAN);93;3105553044;Toulouse;31555;1574435.2264;2271793.7236;1.44383583377536;43.6357875451528
ETATS UNIS FERRY;243;18;oui;2008;AV DES ETATS UNIS;UNIS (AV DES ETATS UNIS);96;3105553104;Toulouse;31555;1573453.7025;2271471.357;1.43174888302605;43.6327222473625
LAUNAGUET AUDIBERT;247;20;oui;2008;RTE DE LAUNAGUET;LAUNAGUET (RTE DE LAUNAGUET);112;3105555096;Toulouse;31555;1574046.1188;2271864.5446;1.43899830066467;43.6363599023378
BOUQUETINS ROSTAND;248;18;oui;2008;RUE EDMOND ROSTAND;ROSTAND (RUE EDMOND ROSTAND);139;3105552888;Toulouse;31555;1574825.9426;2272366.308;1.44854596555645;43.6410053602513
GRANDE BRETAGNE BADIOU;245;20;oui;2008;AV DE GRANDE BRETAGNE;BRETAGNE (AV DE GRANDE BRETAGNE);103B;3105553984;Toulouse;31555;1572041.3944;2267843.9064;1.41509868701061;43.5998396189992
WAGNER BRUNHES;246;20;oui;2008;BD RICHARD WAGNER;WAGNER (BD RICHARD WAGNER);29;3105557468;Toulouse;31555;1572451.8793;2268278.3564;1.4200805835929;43.6038189180874
CURIE CAMPISTRON;150;20;oui;2008;BD PIERRE ET MARIE CURIE;CURIE (BD PIERRE ET MARIE CURIE);88;3105556880;Toulouse;31555;1574078.7206;2270670.8882;1.43967698797064;43.6256234436256
JOLIMONT;251;20;oui;2008;AV LEON BLUM;BLUM (AV LEON BLUM);26;3105555152;Toulouse;31555;1575838.0306;2269381.7512;1.46176460069685;43.6143142235947
RAIMBAUD COLETTE;242;18;oui;2008;RUE ARTHUR RIMBAUD;RIMBAUD (RUE ARTHUR RIMBAUD);4;3105550546;Toulouse;31555;1573923.1148;2271577.355;1.43754039952603;43.6337548602802
PORT SAINT SAUVEUR;15;20;oui;2008;PORT SAINT SAUVEUR;SAUVEUR (PORT SAINT SAUVEUR);22;3105558066;Toulouse;31555;1575384.9535;2267399.791;1.45660377248074;43.5964032030335
LOMBEZ HIPPODROME;194;20;oui;2008;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);93;3105555308;Toulouse;31555;1571640.3637;2267201.7338;1.41028318209757;43.5939923678259
ETATS UNIS  CHARLAS;253;18;oui;2008;AV DES ETATS UNIS;UNIS (AV DES ETATS UNIS);75;3105553104;Toulouse;31555;1573497.3559;2271226.072;1.43234645778436;43.6305222243995
BELIN E.N.A.C.;223;20;oui;2008;AV DU COLONEL ROCHE;ROCHE (AV DU COLONEL ROCHE);4;3105552202;Toulouse;31555;1577063.312;2263878.0054;1.47817624528314;43.5649848900561
BELIN SUP AERO;224;20;oui;2008;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);10;3105552894;Toulouse;31555;1576831.4839;2264048.1538;1.47526886930367;43.5664782977026
BELIN ONERA;225;20;oui;2008;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);4;3105552894;Toulouse;31555;1576688.623;2264465.499;1.47340687834623;43.570210817469
BELIN C.N.R.S.;237;20;oui;2008;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);16;3105552894;Toulouse;31555;1577282.6339;2263574.6252;1.48095852118614;43.5622903583441
MAIRIE CROIX DAURADE;249;18;oui;2008;RTE D ALBI;ALBI (RTE D ALBI);159;3105550124;Toulouse;31555;1576150.2446;2272041.8066;1.46502966620833;43.6383040631661
CESR;222;20;oui;2008;AV DU COLONEL ROCHE;ROCHE (AV DU COLONEL ROCHE);11;3105552202;Toulouse;31555;1576866.0135;2263669.5456;1.47578125220149;43.5630766724072
NEGRENEYS;252;20;oui;2008;RUE DE NEGRENEYS;NEGRENEYS (RUE DE NEGRENEYS);161;3105556236;Toulouse;31555;1574429.856;2270801.8744;1.44399694173504;43.6268608283031
ESPAGNE CHARPENTIER;241;20;oui;2008;RTE D ESPAGNE;ESPAGNE (RTE D ESPAGNE);57;3105553064;Toulouse;31555;1572727.6667;2265082.8824;1.42423826880092;43.575108621758
